0,None
8,Backspace
9,Tab
12,Clear
13,Return
19,Pause
27,Escape
32,Space
33,Exclaim
34,DoubleQuote
35,Hash
36,Dollar
38,Ampersand
39,Quote
40,LeftParen
41,RightParen
42,Asterisk
43,Plus
44,Comma
45,Minus
46,Period
47,Slash
48,Alpha0
49,Alpha1
50,Alpha2
51,Alpha3
52,Alpha4
53,Alpha5
54,Alpha6
55,Alpha7
56,Alpha8
57,Alpha9
58,Colon
59,Semicolon
60,Less
61,Equals
62,Greater
63,Question
64,At
91,LeftBracket
92,Backslash
93,RightBracket
94,Caret
95,Underscore
96,BackQuote
97,A
98,B
99,C
100,D
101,E
102,F
103,G
104,H
105,I
106,J
107,K
108,L
109,M
110,N
111,O
112,P
113,Q
114,R
115,S
116,T
117,U
118,V
119,W
120,X
121,Y
122,Z
127,Delete
256,Keypad0
257,Keypad1
258,Keypad2
259,Keypad3
260,Keypad4
261,Keypad5
262,Keypad6
263,Keypad7
264,Keypad8
265,Keypad9
266,KeypadPeriod
267,KeypadDivide
268,KeypadMultiply
269,KeypadMinus
270,KeypadPlus
271,KeypadEnter
272,KeypadEquals
273,UpArrow
274,DownArrow
275,RightArrow
276,LeftArrow
277,Insert
278,Home
279,End
280,PageUp
281,PageDown
282,F1
283,F2
284,F3
285,F4
286,F5
287,F6
288,F7
289,F8
290,F9
291,F10
292,F11
293,F12
294,F13
295,F14
296,F15
300,Numlock
301,CapsLock
302,ScrollLock
303,RightShift
304,LeftShift
305,RightControl
306,LeftControl
307,RightAlt
308,LeftAlt
309,RightCommand
310,LeftCommand
311,LeftWindows
312,RightWindows
313,AltGr
315,Help
316,Print
317,SysReq
318,Break
319,Menu
